# STN,YYYYMMDD,   FG,  FXX,   TG,   DR,  VVN
209,20230101,96,200,     ,     ,     
209,20230102,69,100,     ,     ,     
209,20230103,88,200,     ,     ,     
209,20230104,141,220,     ,     ,     
209,20230105,90,160,     ,     ,     
209,20230106,96,190,     ,     ,     
209,20230107,111,180,     ,     ,     
209,20230108,98,150,     ,     ,     
209,20230109,85,170,     ,     ,     
209,20230110,112,200,     ,     ,     
209,20230111,110,220,     ,     ,     
209,20230112,138,230,     ,     ,     
209,20230113,135,210,     ,     ,     
209,20230114,120,230,     ,     ,     
209,20230115,138,240,     ,     ,     
209,20230116,87,200,     ,     ,     
209,20230117,75,180,     ,     ,     
209,20230118,113,200,     ,     ,     
209,20230119,83,200,     ,     ,     
209,20230120,62,130,     ,     ,     
209,20230121,36,90,     ,     ,     
209,20230122,63,110,     ,     ,     
209,20230123,48,80,     ,     ,     
209,20230124,40,80,     ,     ,     
209,20230125,50,90,     ,     ,     
209,20230126,79,150,     ,     ,     
209,20230127,69,140,     ,     ,     
209,20230128,38,80,     ,     ,     
209,20230129,88,140,     ,     ,     
209,20230130,114,200,     ,     ,     
209,20230131,102,170,     ,     ,     
209,20230201,131,200,     ,     ,     
209,20230202,94,140,     ,     ,     
209,20230203,90,170,     ,     ,     
209,20230204,27,60,     ,     ,     
209,20230205,92,170,     ,     ,     
209,20230206,26,60,     ,     ,     
209,20230207,29,50,     ,     ,     
209,20230208,45,80,     ,     ,     
209,20230209,63,120,     ,     ,     
209,20230210,70,120,     ,     ,     
209,20230211,57,90,     ,     ,     
209,20230212,24,50,     ,     ,     
209,20230213,28,60,     ,     ,     
209,20230214,29,50,     ,     ,     
209,20230215,53,110,     ,     ,     
209,20230216,84,130,     ,     ,     
209,20230217,106,190,     ,     ,     
209,20230218,98,160,     ,     ,     
209,20230219,68,130,     ,     ,     
209,20230220,109,170,     ,     ,     
209,20230221,53,100,     ,     ,     
209,20230222,43,80,     ,     ,     
209,20230223,51,120,     ,     ,     
209,20230224,103,190,     ,     ,     
209,20230225,100,190,     ,     ,     
209,20230226,68,130,     ,     ,     
209,20230227,56,120,     ,     ,     
209,20230228,45,80,     ,     ,     
209,20230301,53,110,     ,     ,     
209,20230302,73,110,     ,     ,     
209,20230303,62,110,     ,     ,     
209,20230304,70,120,     ,     ,     
209,20230305,43,110,     ,     ,     
209,20230306,78,180,     ,     ,     
209,20230307,76,170,     ,     ,     
209,20230308,61,110,     ,     ,     
209,20230309,74,160,     ,     ,     
209,20230310,123,240,     ,     ,     
209,20230311,43,120,     ,     ,     
209,20230312,91,160,     ,     ,     
209,20230313,148,240,     ,     ,     
209,20230314,108,190,     ,     ,     
209,20230315,53,120,     ,     ,     
209,20230316,92,170,     ,     ,     
209,20230317,51,100,     ,     ,     
209,20230318,53,100,     ,     ,     
209,20230319,50,110,     ,     ,     
209,20230320,88,140,     ,     ,     
209,20230321,95,160,     ,     ,     
209,20230322,109,180,     ,     ,     
209,20230323,106,190,     ,     ,     
209,20230324,117,210,     ,     ,     
209,20230325,113,200,     ,     ,     
209,20230326,78,160,     ,     ,     
209,20230327,88,170,     ,     ,     
209,20230328,72,140,     ,     ,     
209,20230329,73,170,     ,     ,     
209,20230330,114,160,     ,     ,     
209,20230331,80,160,     ,     ,     
209,20230401,82,130,     ,     ,     
209,20230402,92,150,     ,     ,     
209,20230403,70,120,     ,     ,     
209,20230404,45,90,     ,     ,     
209,20230405,32,60,     ,     ,     
209,20230406,70,130,     ,     ,     
209,20230407,56,100,     ,     ,     
209,20230408,42,90,     ,     ,     
209,20230409,35,80,     ,     ,     
209,20230410,101,180,     ,     ,     
209,20230411,104,170,     ,     ,     
209,20230412,96,220,     ,     ,     
209,20230413,107,180,     ,     ,     
209,20230414,59,110,     ,     ,     
209,20230415,88,140,     ,     ,     
209,20230416,74,120,     ,     ,     
209,20230417,64,110,     ,     ,     
209,20230418,88,150,     ,     ,     
209,20230419,101,170,     ,     ,     
209,20230420,89,150,     ,     ,     
209,20230421,53,140,     ,     ,     
209,20230422,35,80,     ,     ,     
209,20230423,55,140,     ,     ,     
209,20230424,101,160,     ,     ,     
209,20230425,75,160,     ,     ,     
209,20230426,42,100,     ,     ,     
209,20230427,45,110,     ,     ,     
209,20230428,68,110,     ,     ,     
209,20230429,63,100,     ,     ,     
209,20230430,38,70,     ,     ,     
209,20230501,38,110,     ,     ,     
209,20230502,67,120,     ,     ,     
209,20230503,60,120,     ,     ,     
209,20230504,77,130,     ,     ,     
209,20230505,38,140,     ,     ,     
209,20230506,30,70,     ,     ,     
209,20230507,34,70,     ,     ,     
209,20230508,37,90,     ,     ,     
209,20230509,60,90,     ,     ,     
209,20230510,29,60,     ,     ,     
209,20230511,38,90,     ,     ,     
209,20230512,75,140,     ,     ,     
209,20230513,80,120,     ,     ,     
209,20230514,61,100,     ,     ,     
209,20230515,76,180,     ,     ,     
209,20230516,73,120,     ,     ,     
209,20230517,66,100,     ,     ,     
209,20230518,52,100,     ,     ,     
209,20230519,63,110,     ,     ,     
209,20230520,75,140,     ,     ,     
209,20230521,70,120,     ,     ,     
209,20230522,61,140,     ,     ,     
209,20230523,90,150,     ,     ,     
209,20230524,54,90,     ,     ,     
209,20230525,69,120,     ,     ,     
209,20230526,75,120,     ,     ,     
209,20230527,52,90,     ,     ,     
209,20230528,80,140,     ,     ,     
209,20230529,84,130,     ,     ,     
209,20230530,79,120,     ,     ,     
209,20230531,78,120,     ,     ,     
